cell_text,youtube_url,source_file
Front plank hand taps,https://youtu.be/OIknD5uwCOY,Arm care adjustment.xlsx
Frogger in/out,https://youtube.com/shorts/8uQNF5gnos4,Brice Thoughts .xlsx
medial scap,https://youtube.com/shorts/bToWOcsn5Dc,Brice Thoughts .xlsx
Childs breathe,https://youtube.com/shorts/LHNFANGPMus,Brice Thoughts .xlsx
RTC,https://youtu.be/iBrY1APY9bA,Brice Thoughts .xlsx
Pec Smash,https://youtube.com/shorts/63eTKU1fCpg,Brice Thoughts .xlsx
Pigeon step-through,https://youtube.com/shorts/uGiQQd2ZpJE,Brice Thoughts .xlsx
Pronator Smash,https://youtube.com/shorts/4f5ZP637Lk0,Brice Thoughts .xlsx
OH adductor rock,https://youtube.com/shorts/FQFsF1mNs94,Brice Thoughts .xlsx
flexor smash,https://youtu.be/9iOq46yxfLA,Brice Thoughts .xlsx
Femoral nerve glide,https://youtu.be/iJA7CPXkipY,Brice Thoughts .xlsx
Triceps Smnash,https://youtu.be/pbZbsA0zwXo,Brice Thoughts .xlsx
ELDOA C5/6,https://youtu.be/1VmFPwcHGrE?si=ge-DmNNAKCmdWzaD,Brice Thoughts .xlsx
Biceps Smash,https://youtube.com/shorts/cvEIY6S47Cs,Brice Thoughts .xlsx
ELDOA T6/7,https://youtube.com/shorts/Assf0V_0mbA?si=vrWmrjzk6QH6Ujpp,Brice Thoughts .xlsx
ELDOA T7/T8,https://youtube.com/shorts/YzRLZOwe4cA?si=4SeEu-ZOC-kuyHk1,Brice Thoughts .xlsx
loaded lat,https://youtube.com/shorts/A3jJwqzb5-E,Brice Thoughts .xlsx
Thoracic rockback,https://youtube.com/shorts/oOIVr4OGQJk,Brice Thoughts .xlsx
Loaded pec,https://youtube.com/shorts/m05ODY2rBVQ,Brice Thoughts .xlsx
Cleland slump,https://youtube.com/shorts/WFWT4CCFlHw,Brice Thoughts .xlsx
Bridge bulley,https://youtube.com/shorts/Nd7tZolcCsk,Brice Thoughts .xlsx
Banded Levator scap,https://youtube.com/shorts/opSmVP1qWpc,Brice Thoughts .xlsx
Thoracic rotation to side bend,https://youtube.com/shorts/QYUJwymbZNI,Brice Thoughts .xlsx
Banded lat,https://youtube.com/shorts/vTP8g2Lzdz4,Brice Thoughts .xlsx
Wall sit side bend,https://youtube.com/shorts/kxWaKEKpK6k,Brice Thoughts .xlsx
Walll sit T roll,https://youtube.com/shorts/nx2x7lLcPk4,Brice Thoughts .xlsx
Wall sit 90 toll,https://youtube.com/shorts/CoYfnU2zQpc,Brice Thoughts .xlsx
Tricep holds,https://youtube.com/shorts/oofofXTQyw4,Brice Thoughts .xlsx
Mini A's fwd,https://youtube.com/shorts/bTyl9prZwNI,Landon Starters.xlsx
mini A's lateral,https://youtube.com/shorts/ob_1TBD3_Dk,Landon Starters.xlsx
"Plank on elbows to down dog, add in leg lift",https://youtube.com/shorts/ZZq28eq8F6M,Landon Starters.xlsx
Heel/toe arm circle small,https://youtube.com/shorts/ATwVHNUoeT8,Landon Starters.xlsx
Heel/toe arm circle big,https://youtube.com/shorts/q3VoYM2FpFk,Landon Starters.xlsx
Lunge to adductor - th rotation - hammy - flexor,https://youtube.com/shorts/0zRyI9o2zyI,Landon Starters.xlsx
Inch worm step through,https://youtube.com/shorts/oHhP81_omUo,Landon Starters.xlsx
Focus bear crawl,https://youtube.com/shorts/3qK0jwaAMy8,Landon Starters.xlsx
A skip (fwd then backward),https://youtube.com/shorts/wiQtVRybvSU,Landon Starters.xlsx
A skip side to side,https://youtube.com/shorts/dp3jpvvr_c4,Landon Starters.xlsx
Swing over gate (walk it fwd then plyo backward),https://youtube.com/shorts/3hTlNssu8Y8,Landon Starters.xlsx
frogger cat camel,https://youtube.com/shorts/Xx8eAm6JXXw,Landon Starters.xlsx
Frogger thread needle,https://youtube.com/shorts/xBwX5G_1kiY,Landon Starters.xlsx
Bridge reach across,https://youtube.com/shorts/_yhHG324Lxk,Landon Starters.xlsx
scap ts,https://youtube.com/shorts/sJ1KdnQNDuA,Landon Starters.xlsx
RTC,https://youtube.com/shorts/UremZhOyhkg,Landon Starters.xlsx
pnf pec fly,https://youtu.be/v4MMH__f1Ss,Landon Starters.xlsx
Anterior delt,https://youtu.be/Oy1dsR127Hk,Landon Starters.xlsx
medial scap,https://youtube.com/shorts/mVybv6NU4qY,Landon Starters.xlsx
lat foam roll,https://youtube.com/shorts/bGG9Zj__UTM,Landon Starters.xlsx
first rib,https://youtube.com/shorts/AI3-TGtDhug,Landon Starters.xlsx
triceps,https://youtu.be/pbZbsA0zwXo,Landon Starters.xlsx
High 10,https://youtube.com/shorts/ojNPaCm0rc0,Landon Starters.xlsx
TLJ IR,https://youtu.be/IRCUdZYRVm4,Landon Starters.xlsx
Pec load,https://youtu.be/6xBVaK9k3-k,Landon Starters.xlsx
Step back to pull back,https://youtu.be/vbs2owm21A8,Landon Starters.xlsx
TFL,https://youtube.com/shorts/zDVmYUK9454,Landon Starters.xlsx
In the hole,https://youtube.com/shorts/BSBGBgbbCqM,Landon Starters.xlsx
Quad,https://youtube.com/shorts/cqx3AmMszPk,Landon Starters.xlsx
flow wind up,https://youtu.be/dA09DUsUKyE,Landon Starters.xlsx
Adductor,https://youtube.com/shorts/2sSH9nD6niM,Landon Starters.xlsx
Couch with Lat,https://youtu.be/42RPYUv3l8I,Landon Starters.xlsx
Bicep Stretch,https://youtu.be/19h_maN-HoI,Landon Starters.xlsx
High plank to yoga push up,https://youtube.com/shorts/1gDzF93luZw,The Program  (1).xlsx
Worlds greatest,https://youtube.com/shorts/xRZlbQjja0g,The Program  (1).xlsx
Bridge reach,https://youtube.com/shorts/_yhHG324Lxk,The Program  (1).xlsx
Lay back (upper arm spiral feel),https://youtu.be/OCtxex_MLl8,The Program  (1).xlsx
Step stretch,https://youtu.be/3PibFT3oMpw,The Program  (1).xlsx
QB drop backs,https://youtube.com/shorts/QNs-e5qu8WU,The Program  (1).xlsx
Ball holds,https://youtube.com/shorts/JWi8dYmZs-8,The Program  (1).xlsx
sock throws,https://youtu.be/c1Ihwbuyxmg,The Program  (1).xlsx
Pec Load Throw,https://youtu.be/6xBVaK9k3-k,The Program  (1).xlsx
Figure 8,https://youtube.com/shorts/Q4Zgg-9MsVg,The Program  (1).xlsx
T to abduction,https://youtu.be/BSO_CLRLJSA,The Program  (1).xlsx
ER 9090 to press,https://youtu.be/tQNXFJf3QMA,The Program  (1).xlsx
Pec Dribble,https://youtu.be/N-xPPdjzKzc,The Program  (1).xlsx
Mod sleeper vs wall,https://youtu.be/5loYziHo1Lc,The Program  (1).xlsx
Bicep Stretch,https://youtu.be/06yv4PLRu5Q,The Program  (1).xlsx
