drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Reverse Throws (Plyo),Arm Path,2 - Pattern,1,"Plyo Balls (450g/blue, 225g/red), wall","Kneel on throwing-arm-side knee, hold plyo ball low, counter-rotate the torso and drive the arm back through the slot to throw against a wall behind you. Trains the posterior shoulder and scap to accept high-velocity deceleration force plus T-spine mobility. Always the FIRST drill in the Driveline plyo routine.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"First drill in the Driveline plyo-ball throwing-program sequence; ball weight 450g/225g (~16/8oz plyo, soft, sub-max intent). relevance: builds posterior-shoulder/scap durability that lets the arm whip instead of push off a braced front side"
Pivot Pickoff Throws,Hip Rotation,2 - Pattern,2,"Plyo Balls (1kg/green, 450g/blue), wall","Start side-on; counter-rotate and hang the throwing hand back, then drive the back hip and wrist over the elbow into the wall. Trains forward rotation sequencing, medial-forearm strength, and pronation timing. Performed early in the plyo routine after reverse throws.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 1kg green + 450g blue plyo. Forces back-hip drive before arm — directly targets the drop-to-rotate failure. relevance: trains back-hip rotation/clearing so the trail hip stops leaking energy"
Pivot Pickoff Throws (slow-mo demo),Hip Rotation,2 - Pattern,2,"Plyo Balls, wall","Slow-motion / high-speed video breakdown of the pivot pickoff — counter-rotate, hang the hand, fire the hips, drive wrist over elbow. Visual reference for the rotation-then-arm sequence.","8 throws","Driveline YouTube",https://www.youtube.com/watch?v=espdyF-BEUU,,Phase 3,4,"Visual companion to the Pivot Pickoff drill row. relevance: shows the back-hip-drive-before-arm timing Landon is missing in the drop-to-rotate transition"
Roll-In Throws,Staying Closed,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red), wall","Take walking steps with toes pointed at the target while MINIMIZING hip rotation; the throwing arm drives straight back as the stride foot contacts, then throw. Constrains the lower half to keep the front side closed and arm back.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 450g blue + 225g red plyo. Keeps toes/front side closed while loading the arm. relevance: trains staying closed and a delayed front side — the headline fix for early front-hip open"
Rocker Drill (Plyo),Hip Rotation,2 - Pattern,3,"Plyo Ball (225g/red) or baseball","Set feet wider than stride with front foot slightly closed to the target; rock back and forth 1-3 times to load the back leg and create rhythm, then throw to a target. Trains weight shift, back-leg loading, and front-leg strength. Prescribed a few weeks in after other mechanics clean up.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 4,4,"Throwing-program sequence member; finishes in a delivery-like position. relevance: trains back-hip load-and-drive and weight shift into a braced front leg (lead-leg block)"
Drop Step Throws,Hip Rotation,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red)","Step back with the back leg, gather into a coil keeping the back hip externally rotated and the outside of the foot anchored, then throw. Anchors the back leg and improves glute/hamstring activation into the drive.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"Throwing-program sequence member; precursor to Walking Windups. relevance: anchors back hip in external rotation so it can rotate/clear instead of leaking"
Walking Windup Throws,Staying Closed,2 - Pattern,3,"Plyo Ball (225g/red) or baseball","A walker step into the leg kick using momentum directed at the target, progressing from drop-step throws into a full-delivery feel. LAST drill in the Driveline plyo routine.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 4,4,"Final drill in the plyo-ball throwing-program sequence; blends pattern toward the mound. relevance: integrates staying-closed + momentum into a delivery-like pattern before transfer"
Step Back Drill,Hip Rotation,2 - Pattern,2,"Plyo Ball or baseball","Face the target, take one step back with the drive leg, then step forward to throw. Simplifies the load so the athlete can feel back-leg engagement before adding momentum.","2 x 5","Driveline Constraint Drills (Foundations of Pitching)",https://edu.drivelinebaseball.com/courses/foundationsofpitching,,Phase 3,3,"Constraint-drill family; entry-level back-leg loader. relevance: isolates trail-leg drive feeding the hip rotation Landon stalls on"
Janitor Drill,Staying Closed,2 - Pattern,3,"Plyo Ball, wall","Constraint drill (studied in Driveline's drill-kinematics work) that constrains the lower half/arm path to feel sequencing — counter-rotation and delayed trunk rotation while the arm works back.","2 x 5","Driveline Constraint Drills",https://edu.drivelinebaseball.com/courses/pitching-102-plyocare-ball-drills,,Phase 4,3,"Constraint-drill family used in Driveline drill-constraint kinematics studies. relevance: trains delayed trunk rotation / staying closed while hips lead"
Plyo Ball Routine — Warmup Progression,Velocity / CNS,2 - Pattern,2,"Plyo Balls (450g-2kg heavy, 150g-450g medium, 100g-225g light), wall","Three-round constraint warmup: Round 1 heavy balls (450g-2kg) at 25-50% intent, Round 2 medium (150g-450g) at 50-75%, Round 3 lightest (100g-225g) at 50-75%. Sub-max constraint work every throwing day; never max intent.","3 rounds x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Daily sub-max constraint routine; lightest 100g ball ~3.5oz underload CNS work is Landon-appropriate. 2kg/1kg heavy plyos are HEAVY but used at low intent for pattern, not max-intent overload. relevance: low-stress daily pattern work for staying closed + arm path without medial-elbow load"
Recovery-Day Plyo Routine,Velocity / CNS,2 - Pattern,1,"Plyo Balls (light, 100g-225g), wall","Lower-effort plyo throws at 50-60% intensity on recovery days; light balls only. Maintains pattern and blood flow without adding stress.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,3,"Recovery-day variant of the plyo routine; ~3.5oz light balls. relevance: conservative-load CNS/pattern maintenance fitting Landon's flexor-pronator history"
Hybrid B Plyo Day,Velocity / CNS,3 - Loading,3,"Plyo Balls (mixed), wall","Medium-effort plyo throwing day at ~70% intent (Hybrid B). Adds force to the constraint patterns without reaching max intent.","2-3 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 5,3,"Hybrid B = 70% intent. Acceptable mid-progression intensity. relevance: graded force progression onto the staying-closed/rotation patterns once base is built"
Hybrid A Plyo Day,Velocity / CNS,3 - Loading,4,"Plyo Balls (mixed), wall","High-effort plyo throwing day reaching up to 90% intent (Hybrid A). Highest-intent plyo day short of true velocity days.","2-3 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 6,3,"Hybrid A reaches ~90% intent — year-2 / not-now for Landon's conservative year; defer sustained 90% intent to Phase 6+. relevance: high-intent transfer of pattern, hold until medial elbow proven durable"
Plyocare Drills (video instruction),Arm Path,2 - Pattern,2,"Plyo Balls, wall","Driveline video walking through the plyocare drill set (reverse throws, pivot pickoffs, roll-ins, rockers) with technique cues for each.","8 throws each","Driveline YouTube",https://www.youtube.com/watch?v=2Os2pTFXUQg,,Phase 3,4,"Video index of the plyocare drill family. relevance: visual reference for the constraint drills that train staying closed + arm path"
Plyo Ball Drill Instructions (video),Staying Closed,2 - Pattern,2,"Plyo Balls, wall","Driveline instructional video demonstrating plyo ball drill mechanics and routine order.","8 throws each","Driveline YouTube",https://www.youtube.com/watch?v=YmY1TxR3ZW0,,Phase 3,3,"Video reference for plyo routine order. relevance: shows sequencing of staying-closed constraint drills"
In-Season Pre-Game Plyo Routine,Velocity / CNS,2 - Pattern,2,"Plyo Balls, wall","Driveline in-season pre-game routine using plyo balls to prime the arm and pattern before competition at controlled intent.","2 x 5","Driveline YouTube",https://www.youtube.com/watch?v=V5ACgxa-tXk,,Phase 5,3,"In-season application of the plyo routine. relevance: low-stress pattern priming that keeps the front-side-closed feel without adding load"
REAL Towel Drill / Holds / Up-Down-Out,Arm Path,2 - Pattern,3,"Towel, no ball","Driveline breakdown of the towel drill, position holds, and the up-down-out arm-action pattern — feeling the arm path and layback positions without throwing a ball.","3 x 8","Driveline YouTube",https://www.youtube.com/watch?v=-Ri-PVv4Urk,,Phase 4,4,"Constraint/feel work for arm action. relevance: grooves a whip/spiral arm path and layback to replace the push arm action"
Efficient Front Leg Mechanics (lead-leg block),Staying Closed,1 - Diagnosis,3,"Video, force plate (concept)","Article: the stride/lead leg must 'slam on the brakes' applying posterior force to stop momentum and catapult the body and ball toward the plate. Lead-leg posterior force correlates with velocity (back-leg drive does not). Explains the brace that converts hip drive into arm whip.",,"Driveline Blog",https://www.drivelinebaseball.com/2015/12/efficient-front-leg-mechanics-that-lead-to-high-velocity/,,Phase 4,5,"Conceptual/diagnostic basis for the lead-leg block. relevance: THE article on the lead-leg block — the single most important feature for Landon (converts back-hip drive into a braced front side that whips the arm)"
Analyzing Front and Back Leg Ground Forces,Hip Rotation,1 - Diagnosis,3,"Force plates (research)","Research article: stride-leg ground reaction force during arm-cocking/acceleration strongly correlates with ball velocity (r-squared 0.45-0.61); back-leg 'drive' does NOT significantly correlate. Peak stride-leg force in arm-cocking is the best velocity predictor.",,"Driveline Blog (Research)",https://www.drivelinebaseball.com/2016/08/analyzing-front-and-back-leg-ground-forces-in-pitchers-using-force-plates/,,Phase 4,5,"Evidence base for prioritizing the lead-leg block over back-leg push. relevance: quantifies why fixing Landon's front-side brace (not just back-leg drive) is what unlocks velocity"
A Different Model for Cueing Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Video, plyo wall (concept)","Article: minimize internal cues, prefer external-focus cues, and use the plyo-ball wall to separate movement work from throwing. To get hip-shoulder separation the hips must rotate open while the trunk stays closed at footstrike; anti-rotation core stability enables it.",,"Driveline Blog",https://www.drivelinebaseball.com/2017/05/different-model-cueing-pitching-mechanics/,,Phase 3,5,"Coaching framework for the separation cue. relevance: defines the staying-closed mechanism (hips open, trunk closed at footstrike) that Landon loses when shoulders fly open"
Mobility & Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Foam roller, bands (assessment)","Article: overhead ROM depends on scapular upward rotation and T-spine extension; priorities are pain-free arm-overhead, sufficient GH internal/external rotation, and open hips to create hip-to-scap separation.",,"Driveline Blog",https://www.drivelinebaseball.com/2017/05/mobility-pitching-mechanics/,,Phase 3,4,"Mobility prerequisites for separation. relevance: identifies the T-spine/hip mobility Landon needs to keep the trunk neutral while hips rotate"
Stability & Pitching Mechanics,Staying Closed,1 - Diagnosis,2,"Bands, cables (assessment)","Article: anti-rotation core stability lets athletes keep the trunk closed while the lower half and hips rotate open — the stability side of hip-shoulder separation.",,"Driveline Blog",https://www.drivelinebaseball.com/2017/05/stability-pitching-mechanics/,,Phase 3,4,"Stability prerequisite for separation. relevance: anti-rotation trunk stability is what stops Landon's shoulders flying open at landing"
Why We Don't Teach Equal and Opposite / Firm Front Side,Staying Closed,1 - Diagnosis,3,"Video (concept)","Article: a glove-blocking 'firm front side' that stops deceleration short kills shoulder angular rotational velocity and adds shoulder/neck stress. The lead leg blocks but the glove side should not jam — nuance on front-side discipline.",,"Driveline Blog",https://www.drivelinebaseball.com/2013/10/dont-teach-equal-opposite-firm-front-side/,,Phase 4,4,"Nuance: lead-LEG block yes, glove-jam no. relevance: refines Landon's front-side fix — block with the leg, keep the glove/trunk discipline without over-blocking"
How We Interpret Biomechanics Reports,Diagnostic,1 - Diagnosis,3,"Motion capture (concept)","Article: how Driveline reads a biomech report — staying stacked/closed (negative trunk angle/tilt at foot plant) can produce ~48 degrees hip-shoulder separation (elite); separation ties to trunk rotation velocity and pitch velocity.",,"Driveline Blog",https://www.drivelinebaseball.com/2019/03/interpret-biomechanics-reports/,,Phase 3,5,"Diagnostic frame for separation metrics. relevance: gives the target (stacked/closed at foot plant -> big separation) that Landon's early-open pattern fails to hit"
"Workload, Range of Motion, and Early Season Injuries",Diagnostic,1 - Diagnosis,3,"PULSE / ROM screen (concept)","Research article linking mismanaged acute:chronic workload and ROM loss to early-season injuries; effects can be delayed. Workload monitoring rationale.",,"Driveline Blog (Research)",https://www.drivelinebaseball.com/2019/03/workload-range-motion-early-season-injuries/,,Phase 3,4,"Workload-injury research. relevance: workload/ROM monitoring discipline is critical given Landon's flexor-pronator history and conservative-load year"
Why We Are Changing Our Recovery Protocols,Diagnostic,1 - Diagnosis,2,"Marc Pro / EMS (concept)","Article: Driveline's revamped recovery — EMS lowered blood lactate and gave best self-reported recovery; tiered recovery (traditional for low-intensity/volume days, revamped protocol after moderate-to-high intensity/volume days).",,"Driveline Blog",https://www.drivelinebaseball.com/2020/10/why-we-are-changing-our-recovery-protocols/,,Phase 3,3,"Recovery protocol rationale. relevance: tiered post-throw recovery protects Landon's medial elbow during the build"
Comparing Overload vs. Underload Weighted Ball Stress,Velocity / CNS,3 - Loading,3,"Weighted balls (3oz underload to 9oz overload)","Research article: insufficient evidence that under- or over-load implements are more stressful than a 5oz ball at max effort. Underload moves the arm faster with less force; overload slower with more force. Driveline rarely exceeds 9oz overload, never below 3oz underload.",,"Driveline Blog (Research)",https://www.drivelinebaseball.com/2017/03/comparing-overload-vs-underload-weighted-ball-stress-on-the-arm/,,Phase 5,4,"year-2 / not-now for the overload (7-9oz) side. Underload 3-4oz is Landon-appropriate. relevance: justifies using 3-4oz underload for arm speed while deferring 7oz+ overload due to flexor-pronator history"
Weighted-Implement 6-Week Program Study (PeerJ),Velocity / CNS,3 - Loading,4,"Weighted balls, motion capture","Open-access peer-reviewed study (PeerJ 2018, PMC6254244): 17 collegiate/pro pitchers, 6 weeks of weighted-implement throwing. Internal-rotation velocity rose significantly; no group velocity change; documents arm-stress/ROM changes.",,"Open-Access Research (PMC)",https://pmc.ncbi.nlm.nih.gov/articles/PMC6254244/,,Phase 5,5,"year-2 / not-now — protocol involves max-intent weighted-ball throwing and 2-7oz implements. relevance: evidence base for weighted-ball arm-speed work; informs a conservative version (underload only) for Landon"
"Range of Motion, Hip-Shoulder Separation & Kinematics (study)",Hip Rotation,1 - Diagnosis,4,"Motion capture (research)","Open-access study (IJSPT, PMC7727427): hip-shoulder separation at foot contact, peak pelvis velocity, and the timing of peak pelvis velocity each individually predict peak trunk velocity; peak trunk velocity predicts ball velocity. Pelvis peaks ~12% of stride-to-release, trunk ~36%.",,"Open-Access Research (PMC)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7727427/,,Phase 3,5,"Core kinematic-sequencing evidence (pelvis->trunk->arm timing). relevance: explains EXACTLY Landon's problem — separation at foot contact + pelvis-leading-trunk timing drives velocity; his early-open pattern collapses this sequence"
Spin Rate Part II: Spin Axis & Useful Spin,Release,1 - Diagnosis,2,"Trackman / Rapsodo (concept)","Article: a stable spin axis and high useful/true spin are the most vital pieces of a pitcher's effectiveness; defines spin axis and useful spin.",,"Driveline Blog",https://www.drivelinebaseball.com/2016/11/spin-rate-part-ii-spin-axis-useful-spin/,,Phase 5,4,"Pitch-design fundamentals. relevance: secondary goal — release-off-the-fingers and spin axis for refining Landon's 4-seam/slider once mechanics improve"
Mastering the Axis of Rotation (Spin Axis 3D),Release,1 - Diagnosis,3,"Trackman / Rapsodo (concept)","Thorough review of spin axis in three dimensions and spin efficiency — what percentage of imparted spin produces movement, and how coaches use it for pitch design.",,"Driveline Blog",https://www.drivelinebaseball.com/2019/09/mastering-the-axis-of-rotation-a-thorough-review-of-spin-axis-in-three-dimensions/,,Phase 5,4,"Deep spin-axis / pitch-design reference. relevance: supports release/finger-drive refinement and slider shape (P4, secondary for Landon)"
Optimizing Breaking Ball Shape (Data-Driven Pitch Design),Release,1 - Diagnosis,3,"Edgertronic, Trackman (concept)","Article: tradeoffs between adding sweep (lose velo) vs adding velo (lose depth/spin efficiency) when designing a breaking ball; data-driven slider/cutter shaping.",,"Driveline Blog",https://www.drivelinebaseball.com/2021/09/optimizing-breaking-ball-shape-through-data-driven-pitch-design-part-one/,,Phase 5,4,"Slider/breaking-ball design. relevance: directly applicable to refining Landon's slider via release and spin efficiency (secondary goal)"
Velocity-Based Training for Baseball Athletes,Velocity / CNS,3 - Loading,3,"Barbell, VBT device (concept)","Article on velocity-based training in the weight room — using bar-speed feedback to autoregulate power/strength work that underpins throwing velocity.",,"Driveline Blog",https://www.drivelinebaseball.com/2017/04/velocity-based-training-for-baseball-athletes/,,Phase 4,3,"Weight-room velocity development; Landon is an advanced lifter so this is high-leverage. relevance: builds the power base for arm speed without throwing-side medial-elbow stress"
Pitching Velocity & UCL Stress (PULSE study),Diagnostic,1 - Diagnosis,3,"PULSE sleeve (research)","Article: measuring elbow/UCL stress with the PULSE sleeve and how it scales with pitching velocity — workload/torque monitoring concept.",,"Driveline Blog (Research)",https://www.drivelinebaseball.com/2016/07/pitching-velocity-and-its-effect-on-ucl-stress-using-pulse/,,Phase 4,4,"Elbow-stress monitoring rationale. relevance: directly relevant to protecting Landon's medial elbow — track torque as velocity rises in the build"
